Normalized,Occurrences,Lemma,POS,NormalizedID,MorphNotes,divine name?,divine name key,persname?,persname gender ,persname type ,persname key,persname link,title?,title type,title key,military?,military key,ethnicon?,ethnicon key,term of relationship?,relationship key,location?,location key,location link,date?,date type,calendar type,occupation?,occupation key,measure?,measure key,object?,object key,religious term?,religious term key,other?,other type,other key
Britannicus,unkn0131-11,britannicus,PROPN,w-britannicus,,,,,,,,,,,,,,y,British,,,,,,,,,,,,,,,,,,,
Bubasti,megi0002-2,Bubastus,PROPN,w-bubasti,,y,Bubastus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c,masa0941-22,c,X,w-c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caesar,"achz0001-2, ashk0003a-2, ashk0003b-2, bshe0006-6, caes0006-2, caes0014-13, caes0017-13, caes0027-2, caes0047-2, caes0049-2, caes0051-2, caes0052-2, caes0054-2, caes0106-2, caes0106-17, caes0107-2, caes0352-1, caes0528-1, cape0001-2, jeru0491-2, jeru0491-7, jeru0494-2, jeru0494-7, jeru0497-2, jeru0554-2, kara0001-2, masa0795-6, masa0799-1, megi0002-13, tsha0002-2, unkn0130-2, unkn0131-2, yotv0001-13",caesar,PROPN,w-caesar,,,,y,m,other,Caesar,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caesare,"achz0001-2, ashk0003a-2, ashk0003b-2, bshe0006-6, caes0006-2, caes0014-13, caes0017-13, caes0027-2, caes0047-2, caes0049-2, caes0051-2, caes0052-2, caes0054-2, caes0106-2, caes0106-17, caes0107-2, caes0352-1, caes0528-1, cape0001-2, jeru0491-2, jeru0491-7, jeru0494-2, jeru0494-7, jeru0497-2, jeru0554-2, kara0001-2, masa0795-6, masa0799-1, megi0002-13, tsha0002-2, unkn0130-2, unkn0131-2, yotv0001-13",caesar,PROPN,w-caesare,,,,y,m,other,Caesar,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caesarea,"caes0003-10, caes0024-3, caes0044-5",caesarea,PROPN,w-caesarea,,,,,,,,,,,,,,,,,,y,Caesarea,https://pleiades.stoa.org/places/678401,,,,,,,,,,,,,,
Caesareae,"caes0003-10, caes0024-3, caes0044-5",caesarea,PROPN,w-caesareae,,,,,,,,,,,,,,,,,,y,Caesarea,https://pleiades.stoa.org/places/678401,,,,,,,,,,,,,,
Caesares,"achz0001-2, ashk0003a-2, ashk0003b-2, bshe0006-6, caes0006-2, caes0014-13, caes0017-13, caes0027-2, caes0047-2, caes0049-2, caes0051-2, caes0052-2, caes0054-2, caes0106-2, caes0106-17, caes0107-2, caes0352-1, caes0528-1, cape0001-2, jeru0491-2, jeru0491-7, jeru0494-2, jeru0494-7, jeru0497-2, jeru0554-2, kara0001-2, masa0795-6, masa0799-1, megi0002-13, tsha0002-2, unkn0130-2, unkn0131-2, yotv0001-13",caesar,PROPN,w-caesares,,,,y,m,other,Caesar,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caesari,"achz0001-2, ashk0003a-2, ashk0003b-2, bshe0006-6, caes0006-2, caes0014-13, caes0017-13, caes0027-2, caes0047-2, caes0049-2, caes0051-2, caes0052-2, caes0054-2, caes0106-2, caes0106-17, caes0107-2, caes0352-1, caes0528-1, cape0001-2, jeru0491-2, jeru0491-7, jeru0494-2, jeru0494-7, jeru0497-2, jeru0554-2, kara0001-2, masa0795-6, masa0799-1, megi0002-13, tsha0002-2, unkn0130-2, unkn0131-2, yotv0001-13",caesar,PROPN,w-caesari,,,,y,m,other,Caesar,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caesaribus,"achz0001-2, ashk0003a-2, ashk0003b-2, bshe0006-6, caes0006-2, caes0014-13, caes0017-13, caes0027-2, caes0047-2, caes0049-2, caes0051-2, caes0052-2, caes0054-2, caes0106-2, caes0106-17, caes0107-2, caes0352-1, caes0528-1, cape0001-2, jeru0491-2, jeru0491-7, jeru0494-2, jeru0494-7, jeru0497-2, jeru0554-2, kara0001-2, masa0795-6, masa0799-1, megi0002-13, tsha0002-2, unkn0130-2, unkn0131-2, yotv0001-13",caesar,PROPN,w-caesaribus,,,,y,m,other,Caesar,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caesaris,"achz0001-2, ashk0003a-2, ashk0003b-2, bshe0006-6, caes0006-2, caes0014-13, caes0017-13, caes0027-2, caes0047-2, caes0049-2, caes0051-2, caes0052-2, caes0054-2, caes0106-2, caes0106-17, caes0107-2, caes0352-1, caes0528-1, cape0001-2, jeru0491-2, jeru0491-7, jeru0494-2, jeru0494-7, jeru0497-2, jeru0554-2, kara0001-2, masa0795-6, masa0799-1, megi0002-13, tsha0002-2, unkn0130-2, unkn0131-2, yotv0001-13",caesar,PROPN,w-caesaris,,,,y,m,other,Caesar,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cai,"haif0020a-1, masa0831-1, nabl0001-3, nabl0001-5, nabl0001-19",caius,PROPN,w-cai,,,,y,m,other,Caius,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caio,"ashk0003b-4, caes0006-3, caes0007-1, caes0018-1, caes0106-3, caes0106-12, kara0001-3, kara0001-12",gaius,PROPN,w-caio,,,,y,m,other,Caius,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caius,"haif0020a-1, masa0831-1, nabl0001-3, nabl0001-5, nabl0001-19",caius,PROPN,w-caius,,,,y,m,other,Caius,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caius,caes0002-8,Caius,PROPN,w-caius,,,,y,m,other,Caius,,,,,,,,,,,,,,,,,,,,,,,,,,,
Callaecorum,unkn0130-64,Callaeci,PROPN,w-callaecorum,,,,,,,,,,,,y,unitname,y,tribe,,,,,,,,,,,,,,,,,,,
Callisto,caes0002-6,Calliste,PROPN,w-callisto,,,,y,m,other,Calliste,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calpurniano,caes0010-2,Calpurnianum,PROPN,w-calpurniano,,,,y,m,other,Calpurnianum,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camilia,emma0001-4,Camilia,PROPN,w-camilia,,,,y,f,other,Camilia,,,,,,,,,,,,,,,,,,,,,,,,,,,
